ID	年度	大会ID	大会	プレーヤー
20302020011001	2020	20302	HNP杯	Hokuto
20302020011002	2020	20302	HNP杯	Hokuto
20302020011003	2020	20302	HNP杯	もりしー
20302020011004	2020	20302	HNP杯	Hokuto
20302020011005	2020	20302	HNP杯	もりしー
20302020012001	2020	20302	HNP杯	もりしー
20302020012002	2020	20302	HNP杯	Hokuto
20302020012003	2020	20302	HNP杯	もりしー
20302020021001	2020	20302	HNP杯	3TK
20302020021002	2020	20302	HNP杯	でこぽん
20302020021003	2020	20302	HNP杯	3TK
20302020021004	2020	20302	HNP杯	でこぽん
20302020021005	2020	20302	HNP杯	3TK
20302020021006	2020	20302	HNP杯	でこぽん
20302020021007	2020	20302	HNP杯	3TK
20302020021008	2020	20302	HNP杯	でこぽん
20302020021009	2020	20302	HNP杯	3TK
20302020021010	2020	20302	HNP杯	でこぽん
20302020021011	2020	20302	HNP杯	でこぽん
20302020021012	2020	20302	HNP杯	でこぽん
